	logFC	AveExpr	t	P.Value	adj.P.Val	B	probe_id	symbol	change
ADAM20	-1.08670837783426	9.44670285578771	-11.6909918557121	1.1548223849951e-12	8.67740757725225e-11	18.8699631894475	ILMN_1903159	ADAM20	down
ADAM20P1	-1.79584631474157	9.35035956925565	-11.674336655338	1.19611983770161e-12	8.95274754787092e-11	18.8346798823505	ILMN_1753345	ADAM20P1	down
ADAM21	-1.55743534130747	8.04994382010693	-11.6089883609969	1.37336064424368e-12	1.02395214545238e-10	18.6959129642762	ILMN_1801769	ADAM21	down
ADAM22	-2.3663183085677	8.55681072441316	-11.5869147706293	1.43914547835769e-12	1.06885723635863e-10	18.6489208795561	ILMN_1748755	ADAM22	down
ADAM28	-2.63734794037818	8.83022349742981	-11.5278942504966	1.63140004956698e-12	1.20224865345486e-10	18.5229774135615	ILMN_2148469	ADAM28	down
ADAM32	-1.43966178969441	7.64287558018231	-11.5225682174291	1.6499981519655e-12	1.20224865345486e-10	18.5115910205345	ILMN_1736127	ADAM32	down
ADAM33	2.29167267650457	10.0359486120414	11.5163396495611	1.67202415550783e-12	1.21370025114523e-10	18.4982706609387	ILMN_1789196	ADAM33	up
ADAM3A	1.33567216421674	10.6491092524284	11.5141625991554	1.67979381361509e-12	1.21475615784586e-10	18.4936137060541	ILMN_1658802	ADAM3A	up
ADAM7	-2.09085828703688	8.1755956422114	-11.4829942411659	1.79518337257073e-12	1.28372294999147e-10	18.4268766200086	ILMN_1763412	ADAM7	down
ADAM8	-1.23010004646341	7.82041985746709	-11.4729702189235	1.83399811021276e-12	1.30662176474269e-10	18.405387740897	ILMN_2290998	ADAM8	down
ADAM9	1.31257604876803	9.80872049716896	11.4698088052548	1.84641748761888e-12	1.31061574877627e-10	18.3986079074916	ILMN_1805395	ADAM9	up
ADAMDEC1	-2.11827625789731	9.60877931012437	-11.4662489283925	1.86050556418046e-12	1.31446342061478e-10	18.3909720595767	ILMN_1668194	ADAMDEC1	down
ADAMTS10	-1.62385093478047	10.4337904586718	-11.4632802818887	1.87233820569999e-12	1.31446342061478e-10	18.3846031812535	ILMN_1745130	ADAMTS10	down
